,Dataset,Number of rows,Number of features,Our agent 1% 4 iters,Our agent 5% 4 iters,Our agent 50% 4 iters,Our agent 1% 1 iter,Our agent 5% 1 iter,Our agent 50% 1 iter,Random agent,LAP 1 iter,LAP 4 iters,LAP 10 iters,Pruning
13,house_8L,9,22784,-0.005111184258649708,-0.0071044546850998385,-0.013660302830809759,0.0,-0.0058975202984419455,-0.0058975202984419455,-0.007982225148123745,-0.06746031746031744,-0.10686855387316217,-0.26609245848877183,-0.008689318021115248
14,jungle_chess_2pcs_raw_endgame_complete,7,44819,-0.002031273241112593,-0.006553993752788932,-0.02493771381823591,0.0,0.0,-0.025937081659973226,-0.029692845455897666,-0.02754071842927265,-0.10974918191283654,-0.3147915737022163,-0.007372080916257622
15,kr-vs-k,7,28056,-0.05553575671180803,-0.0491209313376099,-0.0567088382038489,0.0,0.0,-0.008211570444286045,0.024567890235210253,-0.06558861962461394,-0.13225380137799952,-0.23508404609170822,-0.005631121142525278
16,kropt,7,28056,-0.0017521976716559778,0.0,-0.021174863387978138,0.01553219291993349,0.019266749821810415,0.0,0.022763720598717035,-0.044784984556901886,-0.11694434545022571,-0.17747683535281542,-0.010369644412766292
17,meta_stream_intervals,75,45164,0.014760692276467808,0.0076109819550536735,-0.16922211151703015,0.0,-0.0005443005276947512,-0.04001070150190043,0.015849293331857296,-0.043479464186870376,-0.1589080777888483,-0.4988191446178825,-0.00018399612941845853
18,mfeat-karhunen,65,2000,0.0,0.06031249999999997,0.05937499999999999,0.0032291666666666567,0.0032291666666666567,-0.00020833333333335202,0.08187499999999999,-0.007604166666666673,-0.07927083333333333,-0.6326041666666667,0.0043634259259259225
19,mfeat-morphological,7,2000,0.013541666666666669,0.003333333333333336,0.006041666666666667,0.012187500000000009,0.00895833333333334,0.01635416666666668,0.009375000000000003,-0.0011458333333333366,-0.01145833333333334,-0.2669791666666667,-0.0013425925925925923
20,no2,8,500,0.0,0.0,-0.12291666666666667,-0.11374999999999998,-0.11916666666666666,-0.1275,-0.12291666666666667,-0.09000000000000001,-0.1320833333333333,-0.16374999999999995,-0.03777777777777778
21,nomao,119,34465,0.008287393007398757,0.009659558005706276,0.009949707432661136,0.0,0.0,0.004098360655737691,0.010439334590647489,-0.019155906958750413,-0.026204120121862753,-0.3760578364524396,-0.0009147766655383275
22,nursery,9,12960,0.04816100823045271,0.021315586419753105,0.06262860082304524,0.059960133744856016,0.0,0.0584651491769547,0.0732542438271605,-0.007941100823045256,-0.03883744855967078,-0.4441229423868312,0.010363082990397806
23,phoneme,6,5404,0.0,0.0,-0.05361547949429538,-0.002081406105457905,-0.014107308048103617,0.0,-0.03977798334875115,-0.05854918285538082,-0.10021584952204748,-0.36058433549182856,-0.012659745777229574
24,pm10,8,500,-0.008749999999999999,-0.14958333333333332,-0.15166666666666667,0.0,-0.14375000000000002,-0.14208333333333334,-0.15541666666666668,-0.028333333333333325,-0.11291666666666667,-0.21,-0.03916666666666667
25,rmftsa_sleepdata,3,1024,0.0002032520325203254,-0.0004065040650406508,0.0016260162601625984,0.0,-0.002845528455284546,0.0,0.005691056910569109,0.0032520325203252063,-0.03191056910569104,-0.15813008130081296,-0.006007226738934057
26,satimage,37,6430,-0.013024883359253503,-0.008877656817003629,-0.027702177293934708,-0.0031752203214100577,-0.005248833592534992,-0.008456454121306342,-0.017139709694142042,-0.03227060653188177,-0.14165370658372212,-0.7009460860549508,-0.0015408098611831027
27,tamilnadu-electricity,4,45781,0.0,999.0,-0.009223362818972734,-0.059176040187834456,-0.06965527283316954,0.0,999.0,-0.08380655964471624,-0.15596447162462232,-0.22344927377962218,-0.0378151302990224
